split_id,group_strategy,selected_formula_string,selected_terms,coefficients
composition_gss_00,composition_family_group_shuffle,Eg = 1.51901 - 1.00429*Sn + 0.717012*Br + 1.51545*Cl + 0.839081*Sn^2 - 0.440217*Sn*Br,"Sn,Br,Cl,Sn2,SnBr","{""Br"": 0.7170123313836544, ""Cl"": 1.5154482860371388, ""Intercept"": 1.5190097903452344, ""Sn"": -1.0042886593073515, ""Sn2"": 0.8390808845757295, ""SnBr"": -0.4402165096782569}"
composition_gss_01,composition_family_group_shuffle,Eg = 1.55597 - 1.05599*Sn + 0.318094*Br + 1.62415*Cl + 0.830419*Sn^2 + 0.377516*Br^2 + 0.128328*Cs - 0.180735*Cs*Sn - 0.336432*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.3180941126323259, ""Br2"": 0.3775163797674585, ""Cl"": 1.6241508968455372, ""Cs"": 0.12832780218982048, ""CsCl"": -0.33643224519739856, ""CsSn"": -0.1807347052070104, ""Intercept"": 1.5559698912079059, ""Sn"": -1.0559869002351832, ""Sn2"": 0.830418796284973}"
composition_gss_02,composition_family_group_shuffle,Eg = 1.50787 - 1.00117*Sn + 0.680569*Br + 1.65782*Cl + 0.83079*Sn^2 + 0.141263*Cs - 0.252895*Cs*Sn - 0.407252*Cs*Cl,"Sn,Br,Cl,Sn2,Cs,CsSn,CsCl","{""Br"": 0.680569175231154, ""Cl"": 1.6578230350382253, ""Cs"": 0.14126314162375708, ""CsCl"": -0.40725215024633105, ""CsSn"": -0.25289516706638976, ""Intercept"": 1.5078665035481755, ""Sn"": -1.0011722287684823, ""Sn2"": 0.8307902396200999}"
composition_gss_03,composition_family_group_shuffle,Eg = 1.55834 - 1.04953*Sn + 0.432539*Br + 1.51001*Cl + 0.854939*Sn^2 + 0.288471*Br^2 - 0.298593*Sn*Br,"Sn,Br,Cl,Sn2,Br2,SnBr","{""Br"": 0.4325390605906415, ""Br2"": 0.28847137891677843, ""Cl"": 1.5100095940637086, ""Intercept"": 1.55833560387746, ""Sn"": -1.049530985633119, ""Sn2"": 0.8549386079329607, ""SnBr"": -0.29859286215780895}"
composition_gss_04,composition_family_group_shuffle,Eg = 1.50959 - 1.0277*Sn + 0.683902*Br + 1.62393*Cl + 0.824816*Sn^2 + 0.112016*Cs - 0.193119*Cs*Sn - 0.310312*Cs*Cl,"Sn,Br,Cl,Sn2,Cs,CsSn,CsCl","{""Br"": 0.6839020296663042, ""Cl"": 1.6239320477018158, ""Cs"": 0.1120164477274778, ""CsCl"": -0.31031150331781904, ""CsSn"": -0.19311935706935043, ""Intercept"": 1.509585797291193, ""Sn"": -1.027698817488218, ""Sn2"": 0.8248160989187951}"
composition_gss_05,composition_family_group_shuffle,Eg = 1.58215 - 1.15277*Sn + 0.311251*Br + 1.59142*Cl + 0.940149*Sn^2 + 0.369561*Br^2 + 0.111641*Cs - 0.201409*Cs*Sn - 0.307203*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.3112511601396669, ""Br2"": 0.3695614325750991, ""Cl"": 1.5914196234081308, ""Cs"": 0.11164058630852597, ""CsCl"": -0.3072026992143683, ""CsSn"": -0.20140899713839028, ""Intercept"": 1.5821462864097835, ""Sn"": -1.1527730727339187, ""Sn2"": 0.9401492904511022}"
composition_gss_06,composition_family_group_shuffle,Eg = 1.55364 - 1.09341*Sn + 0.355214*Br + 1.61829*Cl + 0.907023*Sn^2 + 0.357995*Br^2 + 0.11116*Cs - 0.207331*Cs*Sn - 0.321883*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.35521385254376664, ""Br2"": 0.35799545342746086, ""Cl"": 1.6182906359400484, ""Cs"": 0.11116020414326885, ""CsCl"": -0.3218828625764534, ""CsSn"": -0.20733127184728828, ""Intercept"": 1.5536394207209059, ""Sn"": -1.0934140437403066, ""Sn2"": 0.9070231224175661}"
composition_gss_07,composition_family_group_shuffle,Eg = 1.57972 - 1.14186*Sn + 0.372486*Br + 1.57845*Cl + 0.910123*Sn^2 + 0.326699*Br^2 - 0.138948*Sn*Br + 1.15315*Sn*Cl + 0.0692753*Cs,"Sn,Br,Cl,Sn2,Br2,SnBr,SnCl,Cs","{""Br"": 0.3724860022438686, ""Br2"": 0.3266990534570594, ""Cl"": 1.578445574991793, ""Cs"": 0.06927532660442848, ""Intercept"": 1.5797212638139995, ""Sn"": -1.1418619912176466, ""Sn2"": 0.9101232863601465, ""SnBr"": -0.1389478739627319, ""SnCl"": 1.1531545264531993}"
composition_gss_08,composition_family_group_shuffle,Eg = 1.54574 - 1.0283*Sn + 0.396233*Br + 1.57673*Cl + 0.853048*Sn^2 + 0.328213*Br^2 + 0.1552*Cs - 0.331859*Cs*Sn,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn","{""Br"": 0.3962326729392094, ""Br2"": 0.3282132838185008, ""Cl"": 1.5767260273129233, ""Cs"": 0.1551998448082471, ""CsSn"": -0.3318591567905404, ""Intercept"": 1.5457390723056268, ""Sn"": -1.028302389929132, ""Sn2"": 0.8530483667668209}"
composition_gss_09,composition_family_group_shuffle,Eg = 1.55335 - 1.0371*Sn + 0.401278*Br + 1.60199*Cl + 0.837246*Sn^2 + 0.333951*Br^2 - 0.311164*Sn*Br + 0.0251281*Cs - 0.284767*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,SnBr,Cs,CsCl","{""Br"": 0.4012779610518995, ""Br2"": 0.3339509234271676, ""Cl"": 1.6019923987721447, ""Cs"": 0.02512808863253113, ""CsCl"": -0.284766778657756, ""Intercept"": 1.5533482422260372, ""Sn"": -1.037099896212725, ""Sn2"": 0.8372456625757225, ""SnBr"": -0.31116384374098965}"
composition_gss_10,composition_family_group_shuffle,Eg = 1.56992 - 1.11627*Sn + 0.312824*Br + 1.52652*Cl + 0.873483*Sn^2 + 0.414881*Br^2,"Sn,Br,Cl,Sn2,Br2","{""Br"": 0.3128237619572301, ""Br2"": 0.4148813270639244, ""Cl"": 1.5265236359579815, ""Intercept"": 1.5699190479314837, ""Sn"": -1.1162698071453367, ""Sn2"": 0.8734833935235159}"
composition_gss_11,composition_family_group_shuffle,Eg = 1.50261 - 1.0142*Sn + 0.703901*Br + 1.62372*Cl + 0.846537*Sn^2 + 0.228391*Cs - 0.264395*Cs*Sn - 0.329336*Cs*Br - 0.322658*Cs*Cl,"Sn,Br,Cl,Sn2,Cs,CsSn,CsBr,CsCl","{""Br"": 0.7039009400090471, ""Cl"": 1.6237178936805592, ""Cs"": 0.22839119256268214, ""CsBr"": -0.32933599339695896, ""CsCl"": -0.32265826357072863, ""CsSn"": -0.2643952380937798, ""Intercept"": 1.5026102228154192, ""Sn"": -1.014202159727741, ""Sn2"": 0.8465366332513085}"
composition_gss_12,composition_family_group_shuffle,Eg = 1.55564 - 1.14053*Sn + 0.335998*Br + 1.61971*Cl + 0.960563*Sn^2 + 0.37453*Br^2 + 0.123784*Cs - 0.220604*Cs*Sn - 0.335102*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.33599824502812936, ""Br2"": 0.37453029355590206, ""Cl"": 1.6197149572841951, ""Cs"": 0.12378420746289179, ""CsCl"": -0.3351024828957637, ""CsSn"": -0.22060406789180376, ""Intercept"": 1.5556361509814407, ""Sn"": -1.1405263174379967, ""Sn2"": 0.9605633542137312}"
composition_gss_13,composition_family_group_shuffle,Eg = 1.50087 - 0.982897*Sn + 0.709074*Br + 1.5838*Cl + 0.86109*Sn^2 - 0.290313*Sn*Br + 0.150721*Cs - 0.301972*Cs*Sn,"Sn,Br,Cl,Sn2,SnBr,Cs,CsSn","{""Br"": 0.7090740178383358, ""Cl"": 1.5837979823730994, ""Cs"": 0.15072134858861103, ""CsSn"": -0.30197239003885323, ""Intercept"": 1.5008663580240804, ""Sn"": -0.98289735941962, ""Sn2"": 0.8610898491832434, ""SnBr"": -0.29031342320129366}"
composition_gss_14,composition_family_group_shuffle,Eg = 1.55833 - 1.09469*Sn + 0.287963*Br + 1.34531*Cl + 0.904792*Sn^2 + 0.426075*Br^2 + 0.120779*Cs - 0.224607*Cs*Sn,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn","{""Br"": 0.2879632172727823, ""Br2"": 0.426075298050999, ""Cl"": 1.3453073769111419, ""Cs"": 0.12077923691742509, ""CsSn"": -0.2246070723840753, ""Intercept"": 1.5583346924246468, ""Sn"": -1.0946934303562035, ""Sn2"": 0.904791693556837}"
composition_gss_15,composition_family_group_shuffle,Eg = 1.52608 - 0.994126*Sn + 0.416265*Br + 1.63534*Cl + 0.80754*Sn^2 + 0.340468*Br^2 + 0.202153*Cs - 0.248172*Cs*Sn - 0.178652*Cs*Br - 0.351132*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsBr,CsCl","{""Br"": 0.4162645998461628, ""Br2"": 0.3404678985931028, ""Cl"": 1.6353350903738797, ""Cs"": 0.2021534826702669, ""CsBr"": -0.1786519750610096, ""CsCl"": -0.35113183413696497, ""CsSn"": -0.24817204077396718, ""Intercept"": 1.5260784763210768, ""Sn"": -0.9941259990395486, ""Sn2"": 0.8075395878129427}"
composition_gss_16,composition_family_group_shuffle,Eg = 1.566 - 1.06703*Sn + 0.332492*Br + 1.52753*Cl + 0.813676*Sn^2 + 0.394161*Br^2,"Sn,Br,Cl,Sn2,Br2","{""Br"": 0.33249195789199215, ""Br2"": 0.3941614249304492, ""Cl"": 1.5275337804832099, ""Intercept"": 1.566001753768235, ""Sn"": -1.0670348750010044, ""Sn2"": 0.8136763087265398}"
composition_gss_17,composition_family_group_shuffle,Eg = 1.51675 - 1.2732*Sn + 0.495222*Br + 1.6316*Cl + 1.12832*Sn^2 + 0.269912*Br^2 - 0.11937*Sn*Br + 0.203472*Cs - 0.257201*Cs*Sn - 0.179807*Cs*Br - 0.353984*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,SnBr,Cs,CsSn,CsBr,CsCl","{""Br"": 0.4952219910502935, ""Br2"": 0.26991197112769794, ""Cl"": 1.6316017253208177, ""Cs"": 0.20347164570746756, ""CsBr"": -0.17980702854884248, ""CsCl"": -0.3539843672024126, ""CsSn"": -0.2572013380029523, ""Intercept"": 1.5167522434682084, ""Sn"": -1.2732012351521897, ""Sn2"": 1.128317353599388, ""SnBr"": -0.11937017346879245}"
composition_gss_18,composition_family_group_shuffle,Eg = 1.64647 - 1.34093*Sn + 0.247546*Br + 1.52892*Cl + 1.05169*Sn^2 + 0.381838*Br^2 + 0.0348764*Cs - 0.292289*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsCl","{""Br"": 0.24754561624032906, ""Br2"": 0.3818383609948324, ""Cl"": 1.5289248094922316, ""Cs"": 0.034876366904056794, ""CsCl"": -0.2922894733572175, ""Intercept"": 1.646472824217919, ""Sn"": -1.3409322615034793, ""Sn2"": 1.051688854218619}"
composition_gss_19,composition_family_group_shuffle,Eg = 1.52139 - 0.960354*Sn + 0.697961*Br + 1.52202*Cl + 0.786549*Sn^2 - 0.34058*Sn*Br,"Sn,Br,Cl,Sn2,SnBr","{""Br"": 0.697961195440533, ""Cl"": 1.5220167153321826, ""Intercept"": 1.521387330505662, ""Sn"": -0.9603540987514958, ""Sn2"": 0.7865493443961592, ""SnBr"": -0.3405795576208761}"
halide_logo_Br_rich,halide_logo,Eg = 1.55299 - 1.06422*Sn + 0.383873*Br + 1.53367*Cl + 0.882623*Sn^2 + 0.289542*Br^2 + 0.107058*Cs - 0.267266*Cs*Sn,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn","{""Br"": 0.3838725026825804, ""Br2"": 0.28954152548429374, ""Cl"": 1.5336741494597006, ""Cs"": 0.10705760930161037, ""CsSn"": -0.26726646371631974, ""Intercept"": 1.552992900312103, ""Sn"": -1.0642219651521092, ""Sn2"": 0.8826227618188711}"
halide_logo_Cl_containing,halide_logo,Eg = 1.55328 - 1.09599*Sn + 0.342321*Br + 0.90681*Sn^2 + 0.374966*Br^2 + 0.133226*Cs - 0.213928*Cs*Sn,"Sn,Br,Sn2,Br2,Cs,CsSn","{""Br"": 0.34232134784156826, ""Br2"": 0.37496595496504653, ""Cs"": 0.13322598331465588, ""CsSn"": -0.21392774506365997, ""Intercept"": 1.5532815096688966, ""Sn"": -1.0959949021955087, ""Sn2"": 0.9068097734600211}"
halide_logo_I_rich,halide_logo,Eg = 1.58837 - 1.43935*Sn + 0.340229*Br + 1.52547*Cl + 1.24988*Sn^2 + 0.35436*Br^2 + 0.0385601*Cs - 0.301867*Cs*Sn,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn","{""Br"": 0.34022862438323154, ""Br2"": 0.3543603335724543, ""Cl"": 1.5254686474894155, ""Cs"": 0.03856005722554931, ""CsSn"": -0.3018670478415881, ""Intercept"": 1.5883720215038868, ""Sn"": -1.4393456027036344, ""Sn2"": 1.2498822259021338}"
halide_logo_mixed_halide,halide_logo,Eg = 1.55527 - 1.07398*Sn + 0.302721*Br + 1.62625*Cl + 0.883628*Sn^2 + 0.412502*Br^2 + 0.114086*Cs - 0.206019*Cs*Sn - 0.326793*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.30272075211361915, ""Br2"": 0.41250179481881377, ""Cl"": 1.6262507662097432, ""Cs"": 0.11408585847975009, ""CsCl"": -0.32679295976379275, ""CsSn"": -0.20601910354581063, ""Intercept"": 1.5552720882898816, ""Sn"": -1.0739760258156086, ""Sn2"": 0.8836282401051765}"
a_site_logo_Cs_rich,a_site_logo,Eg = 1.55852 - 1.12264*Sn + 0.380783*Br + 1.60579*Cl + 0.927846*Sn^2 + 0.334082*Br^2,"Sn,Br,Cl,Sn2,Br2","{""Br"": 0.38078255813704165, ""Br2"": 0.33408200434269375, ""Cl"": 1.6057921924989778, ""Intercept"": 1.5585235531633597, ""Sn"": -1.122636779322123, ""Sn2"": 0.9278460073860604}"
a_site_logo_FA_rich,a_site_logo,Eg = 1.58614 - 1.17698*Sn + 0.306365*Br + 1.63077*Cl + 0.933715*Sn^2 + 0.380145*Br^2 + 0.109968*Cs - 0.175551*Cs*Sn - 0.346924*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.3063649463222992, ""Br2"": 0.3801453893116047, ""Cl"": 1.6307702336190244, ""Cs"": 0.10996757899844878, ""CsCl"": -0.34692449088547117, ""CsSn"": -0.17555096079753646, ""Intercept"": 1.5861362511866635, ""Sn"": -1.1769771576596144, ""Sn2"": 0.9337148729431181}"
a_site_logo_MA_rich,a_site_logo,Eg = 1.52714 - 1.02751*Sn + 0.398437*Br + 1.34842*Cl + 0.888471*Sn^2 + 0.361968*Br^2 + 0.196848*Cs - 0.309582*Cs*Sn - 0.174499*Cs*Br,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsBr","{""Br"": 0.3984372809953145, ""Br2"": 0.3619680544088679, ""Cl"": 1.3484179276582458, ""Cs"": 0.19684817418639888, ""CsBr"": -0.17449864226931708, ""CsSn"": -0.3095818584232569, ""Intercept"": 1.5271425019949305, ""Sn"": -1.0275110202824669, ""Sn2"": 0.8884705250590537}"
a_site_logo_mixed_A,a_site_logo,Eg = 1.55443 - 1.09863*Sn + 0.345208*Br + 1.61991*Cl + 0.913468*Sn^2 + 0.364904*Br^2 + 0.121967*Cs - 0.226483*Cs*Sn - 0.324934*Cs*Cl,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl","{""Br"": 0.3452078454388328, ""Br2"": 0.36490417336611125, ""Cl"": 1.6199108811306633, ""Cs"": 0.1219671950323685, ""CsCl"": -0.32493378170260395, ""CsSn"": -0.22648293972965697, ""Intercept"": 1.5544280506423154, ""Sn"": -1.0986286229699715, ""Sn2"": 0.9134683322489715}"
